"name","rating","year","game_type","achievements","genre","price","24h_peak"
".hack//G.U. Last Recode",80," 2017","Single-player",52,"RPG",49.99,87
"1 Moment Of Time: Silentville",60," 2016","Single-player",43,"Adventure",0.99,2
"1,000 Heads Among the Trees",50," 2015","Single-player",6,"Indie",6.99,1
"10,000,000",80," 2013","Single-player",14,"Action",4.99,7
"100% Orange Juice",80," 2013","Single-player",165,"Indie",6.99,247
"12 Labours of Hercules II: The Cretan Bull",80," 2015","Single-player",22,"Casual",2.99,5
"12 Labours of Hercules III: Girl Power",80," 2015","Single-player",22,"Casual",2.99,5
"16bit Trader",40," 2015","Single-player",16,"Adventure",2.99,8
"1931: Scheherazade at the Library of Pergamum",50," 2015","Single-player",91,"Casual",14.99,3
"28 Waves Later",20," 2017","Single-player",9,"Action",3.99,1
"365 Days",40," 2019","Single-player",33,"Action",9.99,1
"60 Seconds!",60," 2015","Single-player",56,"Adventure",9.99,38
"8infinity",60," 2016","Single-player",6,"Action",0.99,3
"911 Operator",80," 2017","Single-player",18,"Casual",88.94,140
"A-Gents",60," 2016","Single-player",17,"Action",4.99,0
"A Bird Story",80," 2014","Single-player",1,"Adventure",3.99,7
"A Dance of Fire and Ice",80," 2019","Single-player",20,"Indie",3.99,1880
"A Game of Dwarves",50," 2012","Single-player",29,"Strategy",9.99,3
"A Hat in Time",90," 2017","Single-player",46,"Adventure",29.99,240
"A Plague Tale: Innocence",80," 2019","Single-player",35,"Action",44.99,397
"A Story About My Uncle",80," 2014","Single-player",15,"Adventure",12.99,22
"AaAaAA!!! - A Reckless Disregard for Gravity",80," 2009","Single-player",7,"Action",9.99,1
"Absolver",50," 2017","Single-player",22,"Action",29.99,45
"Across The Moment",70," 2017","Single-player",12,"Adventure",2.99,0
"Action Alien",60," 2015","Single-player",19,"Action",3.99,2
"Actual Sunlight",60," 2014","Single-player",1,"Adventure",4.99,1
"Adorables",50," 2016","Single-player",46,"Casual",2.99,99
"Adventurer Manager",50," 2014","Single-player",74,"Casual",4.99,2
"Aerial Destruction",60," 2017","Single-player",15,"Action",3.99,3
"Aftercharge",80," 2019","Online Multi-Player",19,"Action",19.99,0
"Agarest: Generations of War",60," 2014","Single-player",50,"Adventure",14.99,15
"Age of Mythology: Extended Edition",80," 2014","Single-player",70,"Simulation",29.99,2151
"Age of Steel: Recharge",50," 2016","Single-player",20,"Action",6.99,2
"Age of Wonders III",60," 2014","Single-player",74,"RPG",29.99,540
"Agent Awesome",60," 2015","Single-player",39,"Strategy",1.99,1
"Agents of Mayhem",50," 2017","Single-player",49,"Action",29.99,23
"Agony",50," 2018","Single-player",36,"Action",14.99,6
"AI War: Fleet Command",80," 2009","Single-player",322,"Indie",9.99,4
"Airships: Conquer the Skies",80," 2018","Single-player",9,"Action",14.99,79
"Airstrike HD",50," 2016","Single-player",12,"Casual",1.99,5
"Alan Wake",80," 2012","Single-player",67,"Action",14.99,76
"Alchemist",50," 2016","Single-player",18,"Action",2.99,0
"Alice's Patchwork",80," 2016","Single-player",18,"Casual",34.93,5
"Alice's Patchworks 2",60," 2016","Single-player",18,"Casual",64.87,3
"Alien Shooter",80," 2003","Single-player",17,"Action",4.99,188
"Alien: Isolation",80," 2014","Single-player",50,"Action",39.99,302
"Alpacapaca Dash",80," 2017","Single-player",13,"Casual",0.99,1
"aMAZE",60," 2017","Single-player",14,"Casual",48.55,34
"aMAZE 2",80," 2017","Single-player",10,"Casual",48.55,38
"American Truck Simulator",80," 2016","Single-player",51,"Indie",19.99,7851
"Amigdala",50," 2016","Single-player",15,"Action",5.99,1
"Amnesia: A Machine for Pigs",50," 2013","Single-player",7,"Action",19.99,18
"Amnesia: The Dark Descent",90," 2010","Single-player",18,"Action",19.99,79
"Ancestors Legacy",60," 2018","Single-player",62,"Strategy",84.97,69
"And Yet It Moves",60," 2009","Single-player",30,"Action",9.99,2
"Animal Rivals",40," 2017","Single-player",10,"Action",6.99,0
"Anomaly 2",60," 2013","Single-player",65,"Action",14.99,5
"Anomaly Defenders",60," 2014","Single-player",20,"Action",9.99,7
"Anomaly Warzone Earth Mobile Campaign",60," 2013","Single-player",39,"Action",4.99,3
"Anoxemia",50," 2015","Single-player",23,"Adventure",3.99,1
"Antisphere",50," 2017","Single-player",46,"Action",1.99,6
"Apartment 666",40," 2016","Single-player",2,"Action",0.99,2
"Approaching Blocks",50," 2016","Single-player",16,"Casual",1.99,12
"Aragami",80," 2016","Single-player",51,"Action",19.99,46
"Arcade Tale",40," 2017","Single-player",241,"Adventure",0.99,0
"Archery Practice VR",40," 2017","Single-player",5000,"Action",0.99,0
"ARK: Survival Evolved",50," 2017","Single-player",32,"Action",49.99,68378
"Arma 3",80," 2013","Single-player",104,"Action",57.98,13174
"Armello",80," 2015","Single-player",50,"Adventure",19.99,166
"Armored Gear",50," 2017","Single-player",16,"Action",3.99,1
"Army of Tentacles: (Not) A Cthulhu Dating Sim",60," 2016","Single-player",69,"Adventure",67.9,1
"Ascendant",80," 2014","Single-player",60,"Action",9.99,1
"Ash of Gods: Redemption",60," 2018","Single-player",50,"Adventure",24.99,15
"Ashes of the Singularity: Escalation",60," 2016","Single-player",54,"Indie",29.99,58
"Assetto Corsa",80," 2014","Single-player",709,"Indie",19.99,11019
"Asteroid Bounty Hunter",50," 2016","Single-player",32,"Action",4.99,3
"ASTRONEER",80," 2016","Single-player",54,"Adventure",29.99,2322
"Atonement 2: Ruptured by Despair",60," 2016","Single-player",47,"RPG",5.99,1
"Atonement: Scourge of Time",60," 2015","Single-player",36,"Adventure",8.99,3
"Attack on Titan / A.O.T. Wings of Freedom",80," 2016","Single-player",43,"Action",59.99,15
"Aven Colony",50," 2017","Single-player",48,"Indie",29.99,34
"AWA",50," 2016","Single-player",30,"Action",2.99,0
"Axis Football 2015",60," 2015","Single-player",14,"Sports",4.99,3
"AXYOS",50," 2018","Online Multi-Player",21,"Action",4.99,29
"Baba Is You",90," 2019","Single-player",18,"Indie",14.99,170
"Back to Bed",60," 2014","Single-player",20,"Action",5.99,6
"Bacon Tales - Between Pigs and Wolves",50," 2017","Single-player",11,"Casual",5.99,1
"Bad North",60," 2018","Single-player",11,"Action",14.99,99
"Baldur's Gate II: Enhanced Edition",80," 2013","Single-player",93,"RPG",151.89,596
"Baldur's Gate: Enhanced Edition",80," 2013","Single-player",129,"RPG",151.89,665
"Ballistic Overkill",60," 2017","Online Multi-Player",45,"Action",11.99,46
"Ballistic Protection",50," 2016","Single-player",10,"Action",0.99,1
"Bang Bang Fruit",40," 2017","Single-player",3,"Casual",24.77,11
"Banished",80," 2014","Single-player",36,"Indie",19.99,945
"Barony",80," 2015","Single-player",141,"Action",14.99,370
"BARRIER X",80," 2016","Single-player",7,"Action",2.99,47
"Barro",60," 2018","Single-player",109,"Casual",0.99,46
"Bastion",90," 2011","Single-player",24,"Action",14.99,48
"Batman - The Telltale Series",60," 2016","Single-player",30,"Adventure",14.99,52
"Batman: The Enemy Within - The Telltale Series",80," 2017","Single-player",30,"Adventure",14.99,42
"Battle Brothers",80," 2017","Single-player",89,"Indie",29.99,1370
"Battlefleet Gothic: Armada",50," 2016","Single-player",50,"Strategy",29.99,42
"Battlefleet Gothic: Armada 2",60," 2019","Single-player",91,"Strategy",39.99,397
"Battleplan: American Civil War",50," 2014","Single-player",95,"Casual",9.99,1
"Battlestar Galactica Deadlock",60," 2017","Single-player",26,"Strategy",39.99,87
"BattleStorm",70," 2016","Single-player",24,"Action",2.99,1
"BATTLETECH",60," 2018","Single-player",128,"Action",39.99,1795
"Bayonetta",80," 2017","Single-player",50,"Action",19.99,238
"Beholder",80," 2016","Single-player",60,"Adventure",9.99,834
"Beholder 2",80," 2018","Single-player",52,"Adventure",14.99,796
"Bell Ringer",40," 2016","Single-player",15,"Action",6.99,2
"BERSERK and the Band of the Hawk",60," 2017","Single-player",40,"Action",59.99,16
"Big Pharma",60," 2015","Single-player",25,"Indie",24.99,13
"Binaries",70," 2016","Single-player",21,"Action",9.99,5
"Binary Domain",80," 2012","Single-player",49,"Action",14.99,19
"Bionic Dues",80," 2013","Single-player",220,"Indie",9.99,3
"BioShock Infinite",90," 2013","Single-player",80,"Action",29.99,386
"Bit Blaster XL",90," 2016","Single-player",17,"Action",0.99,8
"BIT.TRIP BEAT",80," 2010","Single-player",26,"Action",9.99,2
"Bizarre Earthquake",50," 2016","Single-player",16,"Adventure",1.99,1
"Black Home",60," 2015","Single-player",22,"Adventure",9.99,9
"Blackguards",50," 2014","Single-player",45,"Indie",9.99,21
"Blackwater Bayou VR",40," 2017","Single-player",17,"Action",0.99,1
"Bladed Fury",80," 2018","Single-player",24,"Action",9.99,4
"Blast Zone! Tournament",70," 2019","Single-player",45,"Action",19.99,1
"BlazBlue Centralfiction",80," 2017","Single-player",48,"Action",39.99,364
"Blitzkrieg 3",50," 2017","Single-player",75,"Strategy",9.99,12
"Blockland",50," 2007","Single-player",11,"Action",9.99,43
"Blockstorm",60," 2015","Online Multi-Player",131,"Action",71.93,5
"Blood Bowl 2",60," 2015","Single-player",31,"Sports",19.99,698
"Blood Bowl: Chaos Edition",60," 2012","Single-player",22,"Sports",14.99,33
"Blood Ties",50," 2016","Single-player",5,"Adventure",3.99,10
"Bloody Trapland",80," 2013","Single-player",29,"Action",9.99,13
"Bloons TD 6",50," 2018","Single-player",49,"Strategy",9.99,12120
"Bomber Crew",80," 2017","Single-player",30,"Simulation",14.99,102
"Book of Demons",80," 2018","Single-player",202,"Action",24.99,24
"Bootombaa",40," 2017","Single-player",4765,"Action",0.99,0
"Borderlands 2",90," 2012","Single-player",75,"Action",19.99,3176
"Borderlands: The Pre-Sequel",80," 2014","Single-player",63,"Action",39.99,448
"Borderless Gaming",80," 2015","Single-player",1,"Utilities",3.99,579
"Botology",40," 2015","Single-player",56,"Action",0.99,0
"Bound By Flame",50," 2014","Single-player",41,"Action",19.99,14
"Boundless",60," 2018","Online Multi-Player",59,"Action",39.99,84
"Braveland",80," 2014","Single-player",21,"Adventure",4.99,6
"Breathing Fear",80," 2016","Single-player",11,"Adventure",2.99,0
"Bridge Constructor Portal",80," 2017","Single-player",16,"Simulation",9.99,41
"Broadside",40," 2015","Single-player",22,"Action",0.99,0
"Broforce",90," 2015","Single-player",17,"Action",14.99,388
"Broken Armor",50," 2016","Single-player",22,"Action",4.99,14
"Broken Sword 5 - the Serpent's Curse",80," 2014","Single-player",35,"Adventure",24.99,26
"Bulby - Diamond Course",50," 2017","Single-player",6,"Adventure",2.99,16
"Bulletstorm: Full Clip Edition",80," 2017","Single-player",60,"Action",39.99,42
"Bunnyrama",70," 2016","Single-player",13,"Adventure",2.99,0
"Burgers",50," 2015","Single-player",5,"Action",2.99,1
"Bus Simulator 16",50," 2016","Single-player",30,"Simulation",17.99,28
"Bus Simulator 18",50," 2018","Single-player",23,"Simulation",34.99,269
"Bye-Bye, Wacky Planet",80," 2016","Single-player",23,"Action",3.99,1
"Call Of The Mighty Warriors",50," 2016","Single-player",25,"Indie",0.99,11
"Campfire: One of Us Is the Killer",40," 2016","Online Multi-Player",15,"Casual",2.99,154
"Cannons-Defenders: Steam Edition",50," 2017","Single-player",12,"Action",0.99,7
"Canyon Capers",50," 2014","Single-player",30,"Action",6.99,4
"Car Mechanic Simulator 2018",60," 2017","Single-player",60,"Racing",19.99,516
"CarX Drift Racing Online",80," 2017","Single-player",36,"Massively Multiplayer",9.99,3236
"Castle Story",50," 2017","Single-player",12,"Indie",24.99,109
"Cat Goes Fishing",80," 2015","Single-player",53,"Casual",6.99,117
"CAT Interstellar",50," 2017","Single-player",18,"Adventure",4.99,6
"Catch a Falling Star",80," 2016","Single-player",45,"Casual",0.99,133
"Catherine Classic",80," 2019","Single-player",50,"Adventure",19.99,63
"Cave Story+",90," 2011","Single-player",75,"Action",14.99,20
"Celeste",90," 2018","Single-player",30,"Action",19.99,1634
"Charlie's Adventure",50," 2016","Single-player",25,"Action",4.99,28
"Chasm",50," 2018","Single-player",20,"Action",19.99,13
"Chime",80," 2010","Single-player",15,"Casual",4.99,6
"Chimpology",70," 2017","Single-player",7,"Casual",1.99,2
"China: Mao's legacy",80," 2019","Single-player",48,"Indie",6.99,30
"Chip",60," 2014","Single-player",22,"Action",4.99,1
"Chivalry: Medieval Warfare",80," 2012","Online Multi-Player",49,"Action",24.99,116
"Chompy Chomp Chomp",60," 2014","Single-player",27,"Action",1.99,0
"Circle Empires",80," 2018","Single-player",66,"Casual",7.99,43
"Cities in Motion",60," 2011","Single-player",47,"Simulation",164.73,27
"Cities in Motion 2",50," 2013","Single-player",51,"Simulation",19.99,39
"Cities: Skylines",80," 2015","Single-player",104,"Simulation",29.99,19659
"City Car Driving",50," 2016","Single-player",48,"Indie",24.99,623
"City of Chains",60," 2015","Single-player",52,"Adventure",8.99,1
"Civil War: Battle of Petersburg",60," 2017","Single-player",2,"Strategy",0.99,1
"CLANNAD",90," 2015","Single-player",22,"Adventure",49.99,119
"Clickdraw Clicker",30," 2016","Single-player",224,"Action",0.99,4
"Clockwise",50," 2017","Single-player",7,"Adventure",1.99,2
"Cloudbuilt",80," 2014","Single-player",37,"Action",19.99,2
"Clue/Cluedo: The Classic Mystery Game",80," 2018","Single-player",19,"Casual",11.99,121
"Clustertruck",80," 2016","Single-player",19,"Action",14.99,74
"Co-Co CORN MAFIA",50," 2017","Single-player",4,"Action",0.99,0
"Cogs",80," 2009","Single-player",18,"Indie",5.99,4
"Color Syndrome",50," 2016","Single-player",12,"Casual",0.99,1
"Commander Cool 2",50," 2015","Single-player",20,"Action",2.99,0
"Company of Heroes 2",60," 2013","Single-player",452,"Strategy",19.99,6460
"Conan Exiles",50," 2018","Single-player",25,"Action",39.99,12211
"Conan Unconquered",50," 2019","Single-player",111,"Strategy",29.99,10
"Conclusion",40," 2016","Single-player",4,"Adventure",1.99,0
"CONSORTIUM",60," 2014","Single-player",39,"Action",9.99,1
"Contagion",60," 2013","Single-player",36,"Action",9.99,37
"Control Craft 2",50," 2016","Single-player",6,"Action",2.99,60
